checkpoint,run,score,player
checkpoint-4006,4,36,GREEDY
checkpoint-4006,4,37,AGGRESSIVE
checkpoint-4006,4,38,DEFENSIVE
checkpoint-4006,5,36,GREEDY
checkpoint-4006,5,36,DEFENSIVE
checkpoint-4006,5,36,NN
checkpoint-4006,5,50,AGGRESSIVE
checkpoint-4006,6,36,NN
checkpoint-4006,6,36,AGGRESSIVE
checkpoint-4006,6,36,GREEDY
checkpoint-4006,6,36,DEFENSIVE
checkpoint-4006,7,37,NN
checkpoint-4006,7,36,DEFENSIVE
checkpoint-4006,7,36,AGGRESSIVE
checkpoint-4006,7,43,GREEDY
checkpoint-4006,8,36,AGGRESSIVE
checkpoint-4006,8,38,NN
checkpoint-4006,8,36,DEFENSIVE
checkpoint-4006,8,45,GREEDY
checkpoint-4006,9,36,NN
checkpoint-4006,9,36,AGGRESSIVE
checkpoint-4006,9,36,GREEDY
checkpoint-4006,9,38,DEFENSIVE
checkpoint-4006,10,36,AGGRESSIVE
checkpoint-4006,10,41,NN
checkpoint-4006,10,36,GREEDY
checkpoint-4006,10,36,DEFENSIVE
checkpoint-4006,11,37,NN
checkpoint-4006,11,37,GREEDY
checkpoint-4006,11,36,AGGRESSIVE
checkpoint-4006,11,37,DEFENSIVE
checkpoint-4006,12,36,AGGRESSIVE
checkpoint-4006,12,36,DEFENSIVE
checkpoint-4006,12,36,NN
checkpoint-4006,12,57,GREEDY
checkpoint-4006,13,37,DEFENSIVE
checkpoint-4006,13,36,NN
checkpoint-4006,13,44,AGGRESSIVE
checkpoint-4006,13,39,GREEDY
checkpoint-4006,14,38,GREEDY
checkpoint-4006,14,37,NN
checkpoint-4006,14,36,AGGRESSIVE
checkpoint-4006,14,36,DEFENSIVE
checkpoint-4006,15,36,NN
checkpoint-4006,15,36,AGGRESSIVE
checkpoint-4006,15,59,DEFENSIVE
checkpoint-4006,15,38,GREEDY
checkpoint-4006,16,36,AGGRESSIVE
checkpoint-4006,16,40,NN
checkpoint-4006,16,36,GREEDY
checkpoint-4006,16,44,DEFENSIVE
checkpoint-4006,17,36,NN
checkpoint-4006,17,36,GREEDY
checkpoint-4006,17,41,AGGRESSIVE
checkpoint-4006,17,38,DEFENSIVE
checkpoint-4006,18,36,AGGRESSIVE
checkpoint-4006,18,44,NN
checkpoint-4006,18,37,GREEDY
checkpoint-4006,18,38,DEFENSIVE
checkpoint-4006,19,36,NN
checkpoint-4006,19,36,GREEDY
checkpoint-4006,19,36,DEFENSIVE
checkpoint-4006,19,39,AGGRESSIVE
checkpoint-4006,20,38,NN
checkpoint-4006,20,36,AGGRESSIVE
checkpoint-4006,20,38,DEFENSIVE
checkpoint-4006,20,36,GREEDY
checkpoint-4006,21,36,NN
checkpoint-4006,21,36,DEFENSIVE
checkpoint-4006,21,36,AGGRESSIVE
checkpoint-4006,21,36,GREEDY
checkpoint-4006,22,36,GREEDY
checkpoint-4006,22,36,NN
checkpoint-4006,22,36,AGGRESSIVE
checkpoint-4006,22,36,DEFENSIVE
checkpoint-4006,23,37,NN
checkpoint-4006,23,0,AGGRESSIVE
checkpoint-4006,23,0,DEFENSIVE
checkpoint-4006,23,0,GREEDY
checkpoint-4006,24,0,NN
checkpoint-4006,24,0,GREEDY
checkpoint-4006,24,0,DEFENSIVE
checkpoint-4006,24,0,AGGRESSIVE
checkpoint-4006,25,36,GREEDY
checkpoint-4006,25,37,AGGRESSIVE
checkpoint-4006,25,50,NN
checkpoint-4006,25,38,DEFENSIVE
checkpoint-4006,26,39,NN
checkpoint-4006,26,36,AGGRESSIVE
checkpoint-4006,26,36,GREEDY
checkpoint-4006,26,38,DEFENSIVE
checkpoint-4006,27,37,NN
checkpoint-4006,27,36,DEFENSIVE
checkpoint-4006,27,45,GREEDY
checkpoint-4006,28,56,NN
checkpoint-4006,28,36,AGGRESSIVE
checkpoint-4006,28,36,GREEDY
checkpoint-4006,28,36,DEFENSIVE
checkpoint-4006,29,36,GREEDY
checkpoint-4006,29,36,NN
checkpoint-4006,29,36,AGGRESSIVE
checkpoint-4006,29,36,DEFENSIVE
checkpoint-4006,30,37,NN
checkpoint-4006,30,36,AGGRESSIVE
checkpoint-4006,30,36,GREEDY
